domain,card,whop,altcoin,onramp,notes
# -- onramp-enabled (top performers - show "Card (Alt)" on checkout) --
carletonplacepeptides.ca,0,0,0,0,interac/zelle + crypto only
rocklandpeptides.ca,0,0,0,0,interac/zelle + crypto only
cumberlandpeptides.ca,0,0,0,0,interac/zelle + crypto only
findlaycreekpeptides.ca,0,0,0,0,interac/zelle + crypto only
langleypeptides.ca,0,0,0,0,interac/zelle + crypto only
sennevillepeptides.ca,0,0,0,0,interac/zelle + crypto only
lavaldesrapidespeptides.ca,0,0,0,0,interac/zelle + crypto only
wellandpeptides.ca,0,0,0,0,interac/zelle + crypto only
northshorepeptides.ca,0,0,0,0,interac/zelle + crypto only
northperthpeptides.ca,0,0,0,0,interac/zelle + crypto only
rockwoodpeptides.ca,0,0,0,0,interac/zelle + crypto only
lockestreetpeptides.ca,0,0,0,0,interac/zelle + crypto only
timberleapeptides.ca,0,0,0,0,interac/zelle + crypto only
signalhillpeptides.ca,0,0,0,0,interac/zelle + crypto only
tuscanypeptides.ca,0,0,0,0,interac/zelle + crypto only
cranstonpeptides.ca,0,0,0,0,interac/zelle + crypto only
mckenzietownepeptides.ca,0,0,0,0,interac/zelle + crypto only
auburnbaypeptides.ca,0,0,0,0,interac/zelle + crypto only
nolanhillpeptides.ca,0,0,0,0,interac/zelle + crypto only
evanstonpeptides.ca,0,0,0,0,interac/zelle + crypto only
legacypeptides.ca,0,0,0,0,interac/zelle + crypto only
juniperridgepeptides.ca,0,0,0,0,interac/zelle + crypto only
eaststpaulpeptides.ca,0,0,0,0,interac/zelle + crypto only
selkirkpeptides.ca,0,0,0,0,interac/zelle + crypto only
stbonifacepeptides.ca,0,0,0,0,interac/zelle + crypto only
riverheightspeptides.ca,0,0,0,0,interac/zelle + crypto only
stjamespeptides.ca,0,0,0,0,interac/zelle + crypto only
fortgarrypeptides.ca,0,0,0,0,interac/zelle + crypto only
charleswoodpeptides.ca,0,0,0,0,interac/zelle + crypto only
stvitalpeptides.ca,0,0,0,0,interac/zelle + crypto only
transconapeptides.ca,0,0,0,0,interac/zelle + crypto only
northkildonanpeptides.ca,0,0,0,0,interac/zelle + crypto only
waverleyheightspeptides.ca,0,0,0,0,interac/zelle + crypto only
bridgwaterpeptides.ca,0,0,0,0,interac/zelle + crypto only
levispeptides.ca,0,0,0,0,interac/zelle + crypto only
saintefoypeptides.ca,0,0,0,0,interac/zelle + crypto only
beauportpeptides.ca,0,0,0,0,interac/zelle + crypto only
charlesbourgpeptides.ca,0,0,0,0,interac/zelle + crypto only
lesrivierespeptides.ca,0,0,0,0,interac/zelle + crypto only
valbelairpeptides.ca,0,0,0,0,interac/zelle + crypto only
lanciennelorettepeptides.ca,0,0,0,0,interac/zelle + crypto only
saintaugustindedesmaurespeptides.ca,0,0,0,0,interac/zelle + crypto only
saint-nicolaspeptides.ca,0,0,0,0,interac/zelle + crypto only
sillerypeptides.ca,0,0,0,0,interac/zelle + crypto only
montcalmpeptides.ca,0,0,0,0,interac/zelle + crypto only
saintrochpeptides.ca,0,0,0,0,interac/zelle + crypto only
limoiloupeptides.ca,0,0,0,0,interac/zelle + crypto only
caprougepeptides.ca,0,0,0,0,interac/zelle + crypto only
saintraymondpeptides.ca,0,0,0,0,interac/zelle + crypto only
stoneycreekpeptides.ca,0,0,0,0,interac/zelle + crypto only
ancasterpeptides.ca,0,0,0,0,interac/zelle + crypto only
flamboroughpeptides.ca,0,0,0,0,interac/zelle + crypto only
glanbrookpeptides.ca,0,0,0,0,interac/zelle + crypto only
waterdownpeptides.ca,0,0,0,0,interac/zelle + crypto only
grimsbypeptides.ca,0,0,0,0,interac/zelle + crypto only
caledoniapeptides.ca,0,0,0,0,interac/zelle + crypto only
westdalepeptides.ca,0,0,0,0,interac/zelle + crypto only
hamiltonmountainpeptides.ca,0,0,0,0,interac/zelle + crypto only
elmirapeptides.ca,0,0,0,0,interac/zelle + crypto only
prestonpeptides.ca,0,0,0,0,interac/zelle + crypto only
hespelerpeptides.ca,0,0,0,0,interac/zelle + crypto only
centralsaanichpeptides.ca,0,0,0,0,interac/zelle + crypto only
northsaanichpeptides.ca,0,0,0,0,interac/zelle + crypto only
jamesbaypeptides.ca,0,0,0,0,interac/zelle + crypto only
westkelownapeptides.ca,0,0,0,0,interac/zelle + crypto only
sidneypeptides.ca,0,0,0,0,interac/zelle + crypto only
southsurreypeptides.ca,0,0,0,0,interac/zelle + crypto only
viewroyalpeptides.ca,0,0,0,0,interac/zelle + crypto only
sullivanpeptides.ca,0,0,0,0,interac/zelle + crypto only
fraserheightspeptides.ca,0,0,0,0,interac/zelle + crypto only
bearcreekpeptides.ca,0,0,0,0,interac/zelle + crypto only
chomedeypeptides.ca,0,0,0,0,interac/zelle + crypto only
saintedorotheepeptides.ca,0,0,0,0,interac/zelle + crypto only
fabrevillepeptides.ca,0,0,0,0,interac/zelle + crypto only
duvernaypeptides.ca,0,0,0,0,interac/zelle + crypto only
pontviaupeptides.ca,0,0,0,0,interac/zelle + crypto only
vimontpeptides.ca,0,0,0,0,interac/zelle + crypto only
auteuilpeptides.ca,0,0,0,0,interac/zelle + crypto only
saintfrancoispeptides.ca,0,0,0,0,interac/zelle + crypto only
sainterosepeptides.ca,0,0,0,0,interac/zelle + crypto only
stthomaspeptides.ca,0,0,0,0,interac/zelle + crypto only
strathroypeptides.ca,0,0,0,0,interac/zelle + crypto only
woodstockpeptides.ca,0,0,0,0,interac/zelle + crypto only
ingersollpeptides.ca,0,0,0,0,interac/zelle + crypto only
byronpeptides.ca,0,0,0,0,interac/zelle + crypto only
oakbaypeptides.ca,0,0,0,0,interac/zelle + crypto only
oldeastvillagepeptides.ca,0,0,0,0,interac/zelle + crypto only
lambethpeptides.ca,0,0,0,0,interac/zelle + crypto only
whiteoakspeptides.ca,0,0,0,0,interac/zelle + crypto only
masonvillepeptides.ca,0,0,0,0,interac/zelle + crypto only
hydeparkpeptides.ca,0,0,0,0,interac/zelle + crypto only
dartmouthpeptides.ca,0,0,0,0,interac/zelle + crypto only
bedfordpeptides.ca,0,0,0,0,interac/zelle + crypto only
easternpassagepeptides.ca,0,0,0,0,interac/zelle + crypto only
sackvillepeptides.ca,0,0,0,0,interac/zelle + crypto only
coleharbourpeptides.ca,0,0,0,0,interac/zelle + crypto only
spryfieldpeptides.ca,0,0,0,0,interac/zelle + crypto only
fairviewpeptides.ca,0,0,0,0,interac/zelle + crypto only
hammondsplainspeptides.ca,0,0,0,0,interac/zelle + crypto only
northendhalifaxpeptides.ca,0,0,0,0,interac/zelle + crypto only
southendhalifaxpeptides.ca,0,0,0,0,interac/zelle + crypto only
warmanpeptides.ca,0,0,0,0,interac/zelle + crypto only
martensvillepeptides.ca,0,0,0,0,interac/zelle + crypto only
stonebridgepeptides.ca,0,0,0,0,interac/zelle + crypto only
brightonpeptides.ca,0,0,0,0,interac/zelle + crypto only
harbourlandingpeptides.ca,0,0,0,0,interac/zelle + crypto only
saanichpeptides.ca,0,0,0,0,interac/zelle + crypto only
langfordpeptides.ca,0,0,0,0,interac/zelle + crypto only
colwoodpeptides.ca,0,0,0,0,interac/zelle + crypto only
esquimaltpeptides.ca,0,0,0,0,interac/zelle + crypto only
niagarafallspeptides.ca,0,0,0,0,interac/zelle + crypto only
thoroldpeptides.ca,0,0,0,0,interac/zelle + crypto only
forteriepeptides.ca,0,0,0,0,interac/zelle + crypto only
portcolbornepeptides.ca,0,0,0,0,interac/zelle + crypto only
lincolnpeptides.ca,0,0,0,0,interac/zelle + crypto only
pelhampeptides.ca,0,0,0,0,interac/zelle + crypto only
niagaraonthelakepeptides.ca,0,0,0,0,interac/zelle + crypto only
